# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
#71.71345 45.19067 15.15112 0.00178 14.53683 0.00308 14.86707 0.00330 -1.00000 0.00000 160.02859 -0.05216 1.25164 0.78873 160.02862 -0.05213 -1.00000 13.73026 0.00137 13.42028 0.00124 13.31220 0.00254 0.16115
71.70334 45.22124 17.73077 0.00921 16.89902 0.01281 17.42834 0.01647 -1.00000 0.00000 160.00069 -0.03778 1.25146 0.78926 160.00069 -0.03779 -1.00000 15.71919 0.00453 15.28262 0.00479 15.13093 0.01041 0.05485
71.69657 45.21044 19.06952 0.02763 18.16449 0.03402 18.74818 0.04818 -1.00000 0.00000 160.00583 -0.04841 1.25134 0.78907 160.00584 -0.04843 -1.00000 16.82319 0.01044 16.31283 0.01149 16.09950 0.02420 0.12340
71.69073 45.21264 19.93995 0.05940 19.21411 0.08348 19.67469 0.10850 -1.00000 0.00000 160.00149 -0.05011 1.25124 0.78911 160.00150 -0.05013 -1.00000 17.61258 0.02016 17.06654 0.02241 16.99452 0.05405 0.09575
71.68871 45.21222 15.53064 0.00217 14.81039 0.00359 15.17943 0.00385 -1.00000 0.00000 160.00088 -0.05147 1.25120 0.78910 160.00090 -0.05150 -1.00000 13.75650 0.00138 13.31159 0.00116 13.17663 0.00231 0.11912
71.77385 45.17194 19.10280 0.01860 18.23605 0.03206 18.74645 0.04087 -1.00000 0.00000 160.07044 -0.03185 1.25269 0.78840 160.07043 -0.03187 -1.00000 16.84424 0.01063 16.35914 0.01187 16.14177 0.02523 0.05277
71.77250 45.20839 18.87100 0.01567 17.98861 0.02650 18.45231 0.03243 -1.00000 0.00000 160.04204 -0.00898 1.25267 0.78904 160.04203 -0.00899 -1.00000 16.50738 0.00809 15.89608 0.00792 15.71941 0.01728 0.02041
71.77102 45.18749 19.55787 0.02645 18.63934 0.04423 19.06614 0.05299 -1.00000 0.00000 160.05730 -0.02330 1.25264 0.78867 160.05729 -0.02332 -1.00000 17.12672 0.01337 16.55674 0.01409 16.38832 0.03135 0.05276
71.77102 45.18404 19.73855 0.03058 18.81154 0.05094 19.42621 0.07158 -1.00000 0.00000 160.05992 -0.02553 1.25264 0.78861 160.05991 -0.02556 -1.00000 17.15428 0.01368 16.62578 0.01499 16.32724 0.02970 0.09446
71.77216 45.19691 14.97000 0.00171 14.33893 0.00303 14.58786 0.00319 -1.00000 0.00000 160.05063 -0.01659 1.25266 0.78883 160.05063 -0.01661 -1.00000 13.31296 0.00110 12.94358 0.00092 12.83801 0.00185 0.06228
71.77065 45.20245 19.99462 0.03771 19.17148 0.06888 19.78517 0.09734 -1.00000 0.00000 160.04573 -0.01382 1.25263 0.78893 160.04571 -0.01383 -2.00000 17.64423 0.02063 17.11788 0.02317 16.91000 0.05005 0.05688
71.76762 45.18325 16.45242 0.00356 15.32488 0.00498 15.93046 0.00632 -1.00000 0.00000 160.05897 -0.02787 1.25258 0.78860 160.05897 -0.02789 -1.00000 13.33912 0.00111 12.56002 0.00074 12.27119 0.00131 0.04118
71.76490 45.17055 18.64281 0.01330 17.83134 0.02355 18.29576 0.02877 -1.00000 0.00000 160.06742 -0.03756 1.25253 0.78837 160.06742 -0.03759 -1.00000 16.57150 0.00856 16.13119 0.00975 16.02379 0.02274 0.08245
71.76354 45.16305 19.37830 0.02297 17.91746 0.02512 18.60551 0.03655 -1.00000 0.00000 160.07251 -0.04314 1.25251 0.78824 160.07252 -0.04317 -1.00000 16.08617 0.00592 15.42499 0.00537 15.16732 0.01082 0.11733
71.76347 45.15774 17.45825 0.00620 16.76735 0.01134 17.13170 0.01275 -1.00000 0.00000 160.07652 -0.04662 1.25251 0.78815 160.07652 -0.04664 -1.00000 15.65033 0.00434 15.31334 0.00491 15.15415 0.01071 0.04702
71.75369 45.19249 16.41097 0.00349 15.27064 0.00484 15.90516 0.00623 -1.00000 0.00000 160.04558 -0.02938 1.25234 0.78876 160.04557 -0.02939 -1.00000 13.37378 0.00113 12.64993 0.00078 12.38850 0.00140 0.05573
71.75187 45.19453 14.44224 0.00133 13.87497 0.00242 14.11448 0.00254 -1.00000 0.00000 160.04319 -0.02903 1.25231 0.78879 160.04319 -0.02905 -1.00000 12.95037 0.00091 12.64330 0.00078 12.52072 0.00152 0.05586
71.75717 45.20695 18.89074 0.01497 17.91038 0.02240 18.48385 0.02613 -1.00000 0.00000 160.03614 -0.01814 1.25240 0.78901 160.03615 -0.01814 -1.00000 16.49349 0.00801 15.98327 0.00855 15.77862 0.01821 0.05721
71.73986 45.20719 16.23958 0.00297 15.21146 0.00430 15.78394 0.00510 -1.00000 0.00000 160.02807 -0.02728 1.25210 0.78901 160.02807 -0.02729 -1.00000 13.65531 0.00131 13.01362 0.00096 12.81428 0.00182 0.06306
71.74268 45.20649 19.59838 0.02581 18.40368 0.03266 18.97803 0.03798 -1.00000 0.00000 160.02988 -0.02622 1.25215 0.78900 160.02990 -0.02624 -1.00000 16.78795 0.01012 16.03281 0.00894 15.81354 0.01879 0.10683
71.73062 45.20607 17.38756 0.00556 16.25530 0.00757 16.93236 0.00949 -1.00000 0.00000 160.02470 -0.03297 1.25194 0.78899 160.02471 -0.03297 -1.00000 14.54748 0.00214 13.86100 0.00165 13.61781 0.00315 0.04658
71.72457 45.20537 19.41967 0.02239 18.40980 0.03282 18.98804 0.03827 -1.00000 0.00000 160.02247 -0.03667 1.25183 0.78898 160.02247 -0.03667 -1.00000 17.07389 0.01280 16.66158 0.01554 16.43687 0.03270 0.01576
71.75767 45.20494 16.70180 0.00379 15.95097 0.00637 16.42980 0.00716 -1.00000 0.00000 160.03791 -0.01917 1.25241 0.78897 160.03792 -0.01918 -1.00000 14.87403 0.00260 14.54866 0.00268 14.36613 0.00555 0.08345
71.74485 45.20365 19.44317 0.02281 18.41978 0.03308 18.95771 0.03738 -1.00000 0.00000 160.03304 -0.02689 1.25218 0.78895 160.03305 -0.02690 -1.00000 16.87101 0.01083 16.25337 0.01082 15.99750 0.02210 0.05617
71.75715 45.20331 19.42893 0.02256 18.46514 0.03428 18.95692 0.03736 -1.00000 0.00000 160.03891 -0.02051 1.25240 0.78895 160.03892 -0.02051 -1.00000 17.06133 0.01264 16.52874 0.01374 16.30643 0.02908 0.08288
71.75862 45.20155 19.62420 0.02635 18.74992 0.04311 19.34111 0.05070 -1.00000 0.00000 160.04093 -0.02086 1.25242 0.78892 160.04094 -0.02087 -1.00000 17.60624 0.01998 17.24146 0.02592 17.09323 0.05910 0.07412
